X,Y,Path_curvature,Xin,Yin,Xout,Yout,Inner BoundryD,Width
-325.5391231,-125.2279644,1.32435E-07,-323.7261943,-130.208942,-327.1463977,-120.8120166,5.300646114,10
-325.6876155,-125.3031842,1.90008E-07,-323.8814935,-130.2654663,-327.3016933,-120.8685395,5.280749945,10
-325.8366449,-125.3784061,2.14847E-07,-324.0372639,-130.3221621,-327.4574669,-120.9252365,5.261035618,10
-325.9862169,-125.453614,1.83096E-07,-324.1935121,-130.3790318,-327.6137125,-120.9821052,5.24151989,10
-326.1363457,-125.5287714,1.28838E-07,-324.3502321,-130.4360733,-327.7704365,-121.0391481,5.222242152,10
-326.2870202,-125.6039054,7.0316E-08,-324.5074297,-130.4932885,-327.9276321,-121.0963627,5.203173004,10
-326.4382254,-125.6790562,1.1615E-08,-324.6651009,-130.5506762,-328.0853021,-121.1537498,5.184269596,10
-326.5899682,-125.7542034,-4.0684E-08,-324.8232461,-130.6082362,-328.2434451,-121.2113092,5.165553396,10
-326.7422577,-125.8293216,-7.8062E-08,-324.98186,-130.6659671,-328.402066,-121.2690425,5.147051528,10
-326.8950878,-125.9044269,-9.2131E-08,-325.1409545,-130.7238727,-328.5611533,-121.3269455,5.128746515,10
-327.0484433,-125.9795617,-9.6022E-08,-325.3005179,-130.781949,-328.7207183,-121.3850224,5.110593561,10
-327.2023321,-126.0547021,-9.8749E-08,-325.4605524,-130.8401969,-328.8807574,-121.4432719,5.092617889,10
-327.3567671,-126.1298091,-1.01483E-07,-325.6210631,-130.898618,-329.0412637,-121.5016914,5.074860224,10
-327.5117344,-126.20492,-9.8014E-08,-325.7820429,-130.9572098,-329.2022433,-121.5602832,5.057281014,10
-327.667222,-126.280067,-7.8424E-08,-325.9434928,-131.0159728,-329.363695,-121.6190468,5.039845751,10
-327.8232358,-126.3552342,-4.2622E-08,-326.1054149,-131.0749076,-329.5256169,-121.6779816,5.022571601,10
